484:472	what are you most concerned about	dia84.html#what_are_you_most_concerned_about	how is it affecting you	dia66.html#how_is_it_affecting_you	1	0	2-4		
484:328	what are you most concerned about	dia84.html#what_are_you_most_concerned_about	so i imagine this back pain is making hard to do your work	dia93.html#so_i_imagine_this_back_pain_is_making_hard_to_do_your_work	1	0		2-11	
484:495	what are you most concerned about	dia84.html#what_are_you_most_concerned_about	well hopefully together we will get to the bottom of this. i 'm sure trying not to move has been disruptive t your life . , hasn 't it	dia71.html#well_hopefully_together_we_will_get_to_the_bottom_of_this._i_'m_sure_trying_not_to_move_has_been_disruptive_t_your_life_._,_hasn_'t_it	1	0		2-22	
484:947	what are you most concerned about	dia84.html#what_are_you_most_concerned_about	what are you most worried about	dia5.html#what_are_you_most_worried_about	0	1	0-0 1-1 2-2 3-3 4-4 5-5		
484:2592	what are you most concerned about	dia84.html#what_are_you_most_concerned_about	what are you most afraid of	dia44.html#what_are_you_most_afraid_of	0	1	0-0 1-1 2-2 3-3	4-4 4-5 5-4 5-5	
484:3791	what are you most concerned about	dia84.html#what_are_you_most_concerned_about	do you have headaches	dia72.html#do_you_have_headaches	0	0	2-1		
1425:1427	are you in pain currently	dia55.html#are_you_in_pain_currently	has the pain caused you to miss work	dia11.html#has_the_pain_caused_you_to_miss_work	1	0	1-4 3-2		
1425:1428	are you in pain currently	dia55.html#are_you_in_pain_currently	absolutely ! we cannot have you missing work ! we will definitely address this !	dia18.html#absolutely_!_we_cannot_have_you_missing_work_!_we_will_definitely_address_this_!	1	0	1-5		
1425:1426	are you in pain currently	dia55.html#are_you_in_pain_currently	have you not been able to work since the injury	dia0.html#have_you_not_been_able_to_work_since_the_injury	1	0	1-1		
1425:305	are you in pain currently	dia55.html#are_you_in_pain_currently	are you in pain right now	are_you_in_pain_right_now.html	0	1	0-0 1-1 2-2 3-3 4-4 4-5		
1425:882	are you in pain currently	dia55.html#are_you_in_pain_currently	does it hurt right now	dia79.html#does_it_hurt_right_now	0	1	4-3 4-4	0-0 0-1 0-2 1-0 1-1 1-2 2-0 2-1 2-2 3-0 3-1 3-2	
1425:941	are you in pain currently	dia55.html#are_you_in_pain_currently	are you currently working	dia84.html#are_you_currently_working	0	0	1-1 4-2		75:3523	that sounds awful	that_sounds_awful.html	that must be very difficult	dia66.html#that_must_be_very_difficult	1	1	0-0 2-3 2-4	1-1 1-2	
75:3520	that sounds awful	that_sounds_awful.html	i 'm sorry you 've been in pain !	dia58.html#i_'m_sorry_you_'ve_been_in_pain_!	1	1		0-3 0-4 0-5 0-6 0-7 1-0 1-1 1-2 2-0 2-1 2-2	
75:3521	that sounds awful	that_sounds_awful.html	i 'm sorry to hear that it 's bothering you so badly	dia81.html#i_'m_sorry_to_hear_that_it_'s_bothering_you_so_badly	1	1		0-5 0-6 0-7 0-8 0-9 0-10 0-11 1-0 1-1 1-2 2-0 2-1 2-2	
75:2006	that sounds awful	that_sounds_awful.html	that sounds frustrating	dia77.html#that_sounds_frustrating	0	1	0-0 1-1	2-2	
75:626	that sounds awful	that_sounds_awful.html	good	dia13.html#good	0	0			
75:613	that sounds awful	that_sounds_awful.html	that sounds pretty painfull	dia56.html#that_sounds_pretty_painfull	0	1	0-0 1-1	2-3	143:2593	so you work on cars	so_you_work_on_cars.html	what do you enjoy	dia50.html#what_do_you_enjoy	1	0	1-2		
143:2598	so you work on cars	so_you_work_on_cars.html	okay. we already talked about how you are a mechanic. do you have any other activities	dia71.html#okay._we_already_talked_about_how_you_are_a_mechanic._do_you_have_any_other_activities	1	0	1-6	2-7 2-8 2-9 3-7 3-8 3-9 4-7 4-8 4-9	
143:2600	so you work on cars	so_you_work_on_cars.html	i can definitely understand that , what are some things you like to do in your free time	dia96.html#i_can_definitely_understand_that_,_what_are_some_things_you_like_to_do_in_your_free_time	1	0	1-10	1-15	
143:1195	so you work on cars	so_you_work_on_cars.html	i understand. so you work with cars	dia9.html#i_understand._so_you_work_with_cars	0	1	0-2 1-3 2-4 3-5 4-6		
