missing	train error	dev error	test error
glove_src_para_sim	0.001096	0.143698	0.143088
glove_src_para_dist	0.001095	0.143351	0.142928
glove_src_para_david	0.001095	0.143351	0.142928
glove_src_orig_sim	0.001096	0.143432	0.142997
glove_src_orig_dist	0.001094	0.143454	0.143029
glove_src_orig_david	0.001094	0.143454	0.143029
glove_orig_para_sim	0.001096	0.143373	0.142912
glove_orig_para_dist	0.001096	0.143585	0.143066
glove_orig_para_david	0.001096	0.143512	0.14299
glove_align_para_sim	0.001097	0.143496	0.14298
glove_align_para_dist	0.001097	0.143482	0.14296
glove_align_para_david	0.001097	0.143482	0.14296
w2v_src_para_sim	0.001095	0.143491	0.142887
w2v_src_para_dist	0.001095	0.143371	0.142959
w2v_src_para_david	0.001095	0.143368	0.142978
w2v_src_orig_sim	0.001096	0.143153	0.142678
w2v_src_orig_dist	0.001094	0.143497	0.143014
w2v_src_orig_david	0.001094	0.143497	0.143014
w2v_orig_para_sim	0.001095	0.143415	0.142817
w2v_orig_para_dist	0.001094	0.14322	0.142805
w2v_orig_para_david	0.001092	0.143206	0.142798
w2v_align_para_sim	0.001097	0.143319	0.142871
w2v_align_para_dist	0.001097	0.143482	0.14296
w2v_align_para_david	0.001097	0.143482	0.14296
elmo_src_para_sim	0.001121	0.143507	0.143011
elmo_src_para_dist	0.001119	0.143706	0.143088
elmo_src_para_david	0.001119	0.143775	0.143294
elmo_src_orig_sim	0.001122	0.143706	0.143146
elmo_src_orig_dist	0.001121	0.143366	0.14276
elmo_src_orig_david	0.001121	0.143371	0.142926
elmo_orig_para_sim	0.001122	0.143667	0.143151
elmo_orig_para_dist	0.001121	0.143483	0.142961
elmo_orig_para_david	0.001121	0.14346	0.142968
elmo_align_para_sim	0.001121	0.14351	0.142959
elmo_align_para_dist	0.001121	0.143437	0.142917
elmo_align_para_david	0.001121	0.143389	0.142872
ng_src_para	0.001097	0.1433	0.142816
ng_src_orig	0.001098	0.14502	0.144065
ng_orig_para	0.001097	0.14332	0.142834
ng_align_para	0.001097	0.14398	0.143435
