missing	train error	dev error	test error
glove_src_para_sim	0.017579	0.140451	0.140334
glove_src_para_dist	0.017741	0.140498	0.140269
glove_src_para_david	0.017557	0.14047	0.140383
glove_src_orig_sim	0.039599	0.151579	0.153856
glove_src_orig_dist	0.04461	0.154464	0.155426
glove_src_orig_david	0.044325	0.154322	0.155359
glove_orig_para_sim	0.020618	0.145355	0.1451
glove_orig_para_dist	0.020802	0.142269	0.142833
glove_orig_para_david	0.020182	0.143559	0.144493
glove_align_para_sim	0.021576	0.14393	0.14543
glove_align_para_dist	0.021777	0.143336	0.14427
glove_align_para_david	0.021777	0.143583	0.144695
w2v_src_para_sim	0.02074	0.143528	0.143919
w2v_src_para_dist	0.021788	0.143802	0.144643
w2v_src_para_david	0.019762	0.143762	0.143922
w2v_src_orig_sim	0.042597	0.154126	0.157016
w2v_src_orig_dist	0.047042	0.155647	0.157171
w2v_src_orig_david	0.046889	0.155564	0.15712
w2v_orig_para_sim	0.029415	0.148315	0.148099
w2v_orig_para_dist	0.026989	0.14565	0.145828
w2v_orig_para_david	0.027576	0.14697	0.147398
w2v_align_para_sim	0.021811	0.143353	0.144575
w2v_align_para_dist	0.021805	0.143338	0.144248
w2v_align_para_david	0.021738	0.143484	0.144556
elmo_src_para_sim	0.066354	0.227438	0.228858
elmo_src_para_dist	0.063766	0.227023	0.228107
elmo_src_para_david	0.061737	0.226675	0.227551
elmo_src_orig_sim	0.057512	0.226176	0.22734
elmo_src_orig_dist	0.070722	0.22756	0.229069
elmo_src_orig_david	0.070847	0.227712	0.228837
elmo_orig_para_sim	0.080352	0.228374	0.229179
elmo_orig_para_dist	0.070588	0.227837	0.229066
elmo_orig_para_david	0.070124	0.22718	0.228221
elmo_align_para_sim	0.070259	0.226995	0.228022
elmo_align_para_dist	0.070604	0.227799	0.229327
elmo_align_para_david	0.070538	0.227594	0.229108
ng_src_para	0.017243	0.143374	0.143772
ng_src_orig	0.0978	0.167414	0.168877
ng_orig_para	0.023065	0.144877	0.145517
ng_align_para	0.023084	0.141211	0.143736
