of course. you are a good friend	okay thank you	2-2
of course. you are a good friend	okay thank you	2-2
of course. you are a good friend	okay thank you	2-2
of course. you are a good friend	are you safe	2-1
of course. you are a good friend	do you have a girlfriend	2-1
of course. you are a good friend	good	0-0 1-0
anyone else have this problem	anythng else beside the more frequent urination	1-1
anyone else have this problem	anythng else beside the more frequent urination	1-1
anyone else have this problem	you said you need to urinate a little more frequently. is there anything else that you 've noticed that might go along with the back pain	1-13
anyone else have this problem	you said you need to urinate a little more frequently. is there anything else that you 've noticed that might go along with the back pain	1-13
anyone else have this problem	you said you need to urinate a little more frequently. is there anything else that you 've noticed that might go along with the back pain	1-13
anyone else have this problem	have you seen any one else regarding this problem	0-3 0-4 1-5 3-7 4-8
anythng else beside the more frequent urination	anyone else have this problem	1-1
anythng else beside the more frequent urination	anyone else have this problem	1-1
anythng else beside the more frequent urination	anyone else have this problem	1-1
anythng else beside the more frequent urination	more frequent urination	4-0 5-1 6-2
anythng else beside the more frequent urination	urination	6-0
anythng else beside the more frequent urination	have you had any frequent urination	5-4 6-5
can you give a numeric description	can you rate the pain	0-0 1-1
can you give a numeric description	can you rate the pain	0-0 1-1
can you give a numeric description	can you rate the pain	0-0 1-1
can you give a numeric description	can you describe it	0-0 1-1
can you give a numeric description	have you had a rash	1-1
can you give a numeric description	have you had a rash	1-1
any trouble peeing	have you had any trouble passing urine	0-3 1-4 2-5 2-6
any trouble peeing	have you noticed any change in you bladder or bowle habits	0-3
any trouble peeing	besides having to urinate more frequently , have you had any other problems related to using the bathroom	0-10
any trouble peeing	any trouble urinating	0-0 1-1 2-2
any trouble peeing	any problems urinating	0-0 1-1 2-2
any trouble peeing	any pain urinating	0-0 2-2
are you having intercourse	are you sexually activ	0-0 1-1 2-2 2-3 3-2 3-3
are you having intercourse	sex	3-0
are you having intercourse	have yo been sexually active i te past 6 months	1-1
are you having intercourse	are you taking vitamins	1-1
are you having intercourse	are you taking medications	1-1
are you having intercourse	how often do you take it	1-3
does anything make the urge to urinate better	you said you need to urinate a little more frequently. is there anything else that you 've noticed that might go along with the back pain	5-4 6-5
does anything make the urge to urinate better	you said you need to urinate a little more frequently. is there anything else that you 've noticed that might go along with the back pain	5-4 6-5
does anything make the urge to urinate better	you said you need to urinate a little more frequently. is there anything else that you 've noticed that might go along with the back pain	5-4 6-5
does anything make the urge to urinate better	does anything make it better	0-0 1-1 2-2 7-4
does anything make the urge to urinate better	does anything make the pain better	0-0 1-1 2-2 7-5
does anything make the urge to urinate better	when did the urge to urinate start	3-2 4-3 5-4 6-5
what do you do in your spare time	what do you like to do in your spare time	0-0 2-2 3-5 4-6 5-7 6-8 7-9
what do you do in your spare time	what do you like to do in your spare time	0-0 2-2 3-5 4-6 5-7 6-8 7-9
what do you do in your spare time	what are you most afraid of	2-2
what do you do in your spare time	what do you do in your free time	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7
what do you do in your spare time	what do you do on your free time	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7
what do you do in your spare time	what do you do	2-2
what do you do for work	where do you work	2-2 5-3
what do you do for work	i am sorry to hear that. where do you work	2-8 5-9
what do you do for work	i understand that must be difficult. where do you work	2-8 5-9
what do you do for work	what do you do for exercise	2-2
what do you do for work	and what do you do for work	0-1 1-2 2-3 3-4 4-5 5-6
what do you do for work	what do you do	0-0 1-1 2-2 3-3
do you feel pain in other areas	anything else related to the back pain	3-6
do you feel pain in other areas	let 's move on. is your back the only thing bothering you today , mr. wilkins	1-11
do you feel pain in other areas	just pain in your back	3-1
do you feel pain in other areas	do you feel pain anywhere else	0-0 1-1 2-2 3-3 4-4 4-5 5-4 5-5 6-4 6-5
do you feel pain in other areas	do you feel pain at night	0-0 1-1 2-2 3-3
do you feel pain in other areas	do you feel the pain anywhere else	0-0 1-1 2-2 3-4 4-5 4-6 5-5 5-6 6-5 6-6
is it worse on one side	is it to the side or right in the middle of your back	1-1 5-4
is it worse on one side	is the pain on both sides of your back	3-3
is it worse on one side	is the pain on both sides of your back	3-3
is it worse on one side	is it on one side	0-0 1-1 3-2 4-3 5-4
is it worse on one side	is it just on one side	0-0 1-1 3-3 4-4 5-5
